# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Quranic Arabic Corpus (morphology, version 0.4)
#  Copyright (C) 2011 Kais Dukes
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(1:5:3:2)	<iy~aAka	PRON	STEM|POS:PRON|LEM:<iy~aA|2MS
(1:5:4:1)	nasotaEiynu	V	STEM|POS:V|IMPF|(X)|LEM:{sotaEiynu|ROOT:Ewn|1P
(1:6:1:1)	{hodi	V	STEM|POS:V|IMPV|LEM:hadaY|ROOT:hdy|2MS
(1:6:1:2)	naA	PRON	SUFFIX|PRON:1P
(1:6:2:1)	{l	DET	PREFIX|Al+
(1:6:2:2)	S~ira`Ta	N	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC
(1:6:3:1)	{lo	DET	PREFIX|Al+
(1:6:3:2)	musotaqiyma	ADJ	STEM|POS:ADJ|ACT|PCPL|(X)|LEM:m~usotaqiym|ROOT:qwm|M|ACC
(1:7:1:1)	Sira`Ta	N	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC
(1:7:2:1)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(1:7:3:1)	>anoEamo	V	STEM|POS:V|PERF|(IV)|LEM:>anoEama|ROOT:nEm|2MS
(1:7:3:2)	ta	PRON	SUFFIX|PRON:2MS
(1:7:4:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(1:7:4:2)	himo	PRON	SUFFIX|PRON:3MP
(1:7:5:1)	gayori	N	STEM|POS:N|LEM:gayor|ROOT:gyr|M|GEN
(1:7:6:1)	{lo	DET	PREFIX|Al+
(1:7:6:2)	magoDuwbi	N	STEM|POS:N|PASS|PCPL|LEM:magoDuwb|ROOT:gDb|M|GEN
(1:7:7:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(1:7:7:2)	himo	PRON	SUFFIX|PRON:3MP
(1:7:8:1)	wa	CONJ	PREFIX|w:CONJ+
(1:7:8:2)	laA	NEG	STEM|POS:NEG|LEM:laA
(1:7:9:1)	{l	DET	PREFIX|Al+
(1:7:9:2)	D~aA^l~iyna	N	STEM|POS:N|ACT|PCPL|LEM:DaA^l~|ROOT:Dll|MP|GEN
(2:1:1:1)	Al^m^	INL	STEM|POS:INL
(2:2:1:1)	*a`lika	DEM	STEM|POS:DEM|LEM:*a`lik|MS
(2:2:2:1)	{lo	DET	PREFIX|Al+
(2:2:2:2)	kita`bu	N	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|NOM
(2:2:3:1)	laA	NEG	STEM|POS:NEG|LEM:laA|SP:<in~
(2:2:4:1)	rayoba	N	STEM|POS:N|LEM:rayob|ROOT:ryb|M|ACC
(2:2:5:1)	fiy	P	STEM|POS:P|LEM:fiY
(2:2:5:2)	hi	PRON	SUFFIX|PRON:3MS
(2:2:6:1)	hudFY	N	STEM|POS:N|LEM:hudFY|ROOT:hdy|M|INDEF|NOM
(2:2:7:1)	l~i	P	PREFIX|l:P+
(2:2:7:2)	lo	DET	PREFIX|Al+
(2:2:7:3)	mut~aqiyna	N	STEM|POS:N|ACT|PCPL|(VIII)|LEM:mut~aqiyn|ROOT:wqy|MP|GEN
(2:3:1:1)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(2:3:2:1)	yu&ominu	V	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:3:2:2)	wna	PRON	SUFFIX|PRON:3MP
(2:3:3:1)	bi	P	PREFIX|bi+
(2:3:3:2)	{lo	DET	PREFIX|Al+
(2:3:3:3)	gayobi	N	STEM|POS:N|LEM:gayob|ROOT:gyb|M|GEN
(2:3:4:1)	wa	CONJ	PREFIX|w:CONJ+
(2:3:4:2)	yuqiymu	V	STEM|POS:V|IMPF|(IV)|LEM:>aqaAma|ROOT:qwm|3MP
(2:3:4:3)	wna	PRON	SUFFIX|PRON:3MP
(2:3:5:1)	{l	DET	PREFIX|Al+
(2:3:5:2)	S~alaw`pa	N	STEM|POS:N|LEM:Salaw`p|ROOT:Slw|F|ACC
(2:3:6:1)	wa	REM	PREFIX|w:REM+
(2:3:6:2)	mi	P	STEM|POS:P|LEM:min
(2:3:6:3)	m~aA	REL	STEM|POS:REL|LEM:maA
(2:3:7:1)	razaqo	V	STEM|POS:V|PERF|LEM:razaqa|ROOT:rzq|1P
(2:3:7:2)	na`	PRON	SUFFIX|PRON:1P
(2:3:7:3)	humo	PRON	SUFFIX|PRON:3MP
(2:3:8:1)	yunfiqu	V	STEM|POS:V|IMPF|(IV)|LEM:>anfaqa|ROOT:nfq|3MP
(2:3:8:2)	wna	PRON	SUFFIX|PRON:3MP
(2:4:1:1)	wa	CONJ	PREFIX|w:CONJ+
(2:4:1:2)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(2:4:2:1)	yu&ominu	V	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:4:2:2)	wna	PRON	SUFFIX|PRON:3MP
(2:4:3:1)	bi	P	PREFIX|bi+
(2:4:3:2)	maA^	REL	STEM|POS:REL|LEM:maA
(2:4:4:1)	>unzila	V	STEM|POS:V|PERF|PASS|(IV)|LEM:>anzala|ROOT:nzl|3MS
(2:4:5:1)	<ilayo	P	STEM|POS:P|LEM:<ilaY`
(2:4:5:2)	ka	PRON	SUFFIX|PRON:2MS
(2:4:6:1)	wa	CONJ	PREFIX|w:CONJ+
(2:4:6:2)	maA^	REL	STEM|POS:REL|LEM:maA
(2:4:7:1)	>unzila	V	STEM|POS:V|PERF|PASS|(IV)|LEM:>anzala|ROOT:nzl|3MS
(2:4:8:1)	min	P	STEM|POS:P|LEM:min
(2:4:9:1)	qaboli	N	STEM|POS:N|LEM:qabol|ROOT:qbl|GEN
(2:4:9:2)	ka	PRON	SUFFIX|PRON:2MS
(2:4:10:1)	wa	REM	PREFIX|w:REM+
(2:4:10:2)	bi	P	PREFIX|bi+
(2:4:10:3)	{lo	DET	PREFIX|Al+
(2:4:10:4)	'aAxirapi	N	STEM|POS:N|LEM:A^xir|ROOT:Axr|FS|GEN
(2:4:11:1)	humo	PRON	STEM|POS:PRON|3MP
(2:4:12:1)	yuwqinu	V	STEM|POS:V|IMPF|(IV)|LEM:yuwqinu|ROOT:yqn|3MP
(2:4:12:2)	wna	PRON	SUFFIX|PRON:3MP
(2:5:1:1)	>uw@la`^}ika	DEM	STEM|POS:DEM|LEM:>uwla`^}ik|P
(2:5:2:1)	EalaY`	P	STEM|POS:P|LEM:EalaY`
(2:5:3:1)	hudFY	N	STEM|POS:N|LEM:hudFY|ROOT:hdy|M|INDEF|GEN
(2:5:4:1)	m~in	P	STEM|POS:P|LEM:min
(2:5:5:1)	r~ab~i	N	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN
(2:5:5:2)	himo	PRON	SUFFIX|PRON:3MP
(2:5:6:1)	wa	CONJ	PREFIX|w:CONJ+
(2:5:6:2)	>uw@la`^}ika	DEM	STEM|POS:DEM|LEM:>uwla`^}ik|P
(2:5:7:1)	humu	PRON	STEM|POS:PRON|3MP
(2:5:8:1)	{lo	DET	PREFIX|Al+
(2:5:8:2)	mufoliHuwna	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:mufoliHuwn|ROOT:flH|MP|NOM
(2:6:1:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(2:6:2:1)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(2:6:3:1)	kafaru	V	STEM|POS:V|PERF|LEM:kafara|ROOT:kfr|3MP
(2:6:3:2)	wA@	PRON	SUFFIX|PRON:3MP
(2:6:4:1)	sawaA^'N	N	STEM|POS:N|LEM:sawaA^'|ROOT:swy|M|INDEF|NOM
(2:6:5:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(2:6:5:2)	himo	PRON	SUFFIX|PRON:3MP
(2:6:6:1)	'a	EQ	PREFIX|A:EQ+
(2:6:6:2)	>an*aro	V	STEM|POS:V|PERF|(IV)|LEM:>an*ara|ROOT:n*r|2MS
(2:6:6:3)	ta	PRON	SUFFIX|PRON:2MS
(2:6:6:4)	humo	PRON	SUFFIX|PRON:3MP
(2:6:7:1)	>amo	CONJ	STEM|POS:CONJ|LEM:>am
(2:6:8:1)	lamo	NEG	STEM|POS:NEG|LEM:lam
(2:6:9:1)	tun*iro	V	STEM|POS:V|IMPF|(IV)|LEM:>an*ara|ROOT:n*r|2MS|MOOD:JUS
(2:6:9:2)	humo	PRON	SUFFIX|PRON:3MP
(2:6:10:1)	laA	NEG	STEM|POS:NEG|LEM:laA
(2:6:11:1)	yu&ominu	V	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:6:11:2)	wna	PRON	SUFFIX|PRON:3MP
(2:7:1:1)	xatama	V	STEM|POS:V|PERF|LEM:xatama|ROOT:xtm|3MS
(2:7:2:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
(2:7:3:1)	EalaY`	P	STEM|POS:P|LEM:EalaY`
(2:7:4:1)	quluwbi	N	STEM|POS:N|LEM:qalob|ROOT:qlb|FP|GEN
(2:7:4:2)	himo	PRON	SUFFIX|PRON:3MP
(2:7:5:1)	wa	CONJ	PREFIX|w:CONJ+
(2:7:5:2)	EalaY`	P	STEM|POS:P|LEM:EalaY`
(2:7:6:1)	samoEi	N	STEM|POS:N|LEM:samoE|ROOT:smE|M|GEN
(2:7:6:2)	himo	PRON	SUFFIX|PRON:3MP
(2:7:7:1)	wa	REM	PREFIX|w:REM+
(2:7:7:2)	EalaY`^	P	STEM|POS:P|LEM:EalaY`
(2:7:8:1)	>aboSa`ri	N	STEM|POS:N|LEM:baSar|ROOT:bSr|MP|GEN
(2:7:8:2)	himo	PRON	SUFFIX|PRON:3MP
(2:7:9:1)	gi$a`wapN	N	STEM|POS:N|LEM:gi$a`wap|ROOT:g$w|F|INDEF|NOM
(2:7:10:1)	wa	REM	PREFIX|w:REM+
(2:7:10:2)	la	P	PREFIX|l:P+
(2:7:10:3)	humo	PRON	STEM|POS:PRON|3MP
(2:7:11:1)	Ea*aAbN	N	STEM|POS:N|LEM:Ea*aAb|ROOT:E*b|M|INDEF|NOM
(2:7:12:1)	EaZiymN	ADJ	STEM|POS:ADJ|LEM:EaZiym|ROOT:EZm|MS|INDEF|NOM
(2:8:1:1)	wa	REM	PREFIX|w:REM+
(2:8:1:2)	mina	P	STEM|POS:P|LEM:min
(2:8:2:1)	{l	DET	PREFIX|Al+
(2:8:2:2)	n~aAsi	N	STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|GEN
(2:8:3:1)	man	REL	STEM|POS:REL|LEM:man
(2:8:4:1)	yaquwlu	V	STEM|POS:V|IMPF|LEM:qaAla|ROOT:qwl|3MS
(2:8:5:1)	'aAma	V	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|1P
(2:8:5:2)	n~aA	PRON	SUFFIX|PRON:1P
(2:8:6:1)	bi	P	PREFIX|bi+
(2:8:6:2)	{ll~ahi	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
(2:8:7:1)	wa	CONJ	PREFIX|w:CONJ+
(2:8:7:2)	bi	P	PREFIX|bi+
(2:8:7:3)	{lo	DET	PREFIX|Al+
(2:8:7:4)	yawomi	N	STEM|POS:N|LEM:yawom|ROOT:ywm|M|GEN
(2:8:8:1)	{lo	DET	PREFIX|Al+
(2:8:8:2)	'aAxiri	ADJ	STEM|POS:ADJ|LEM:A^xir|ROOT:Axr|MS|GEN
(2:8:9:1)	wa	CIRC	PREFIX|w:CIRC+
(2:8:9:2)	maA	NEG	STEM|POS:NEG|LEM:maA|SP:kaAn
(2:8:10:1)	hum	PRON	STEM|POS:PRON|3MP
(2:8:11:1)	bi	P	PREFIX|bi+
(2:8:11:2)	mu&ominiyna	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:mu&omin|ROOT:Amn|MP|GEN
(2:9:1:1)	yuxa`diEu	V	STEM|POS:V|IMPF|(III)|LEM:yuxa`diEu|ROOT:xdE|3MP
(2:9:1:2)	wna	PRON	SUFFIX|PRON:3MP
(2:9:2:1)	{ll~aha	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|ACC
(2:9:3:1)	wa	CONJ	PREFIX|w:CONJ+
(2:9:3:2)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(2:9:4:1)	'aAmanu	V	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:9:4:2)	wA@	PRON	SUFFIX|PRON:3MP
(2:9:5:1)	wa	REM	PREFIX|w:REM+
(2:9:5:2)	maA	NEG	STEM|POS:NEG|LEM:maA
(2:9:6:1)	yaxodaEu	V	STEM|POS:V|IMPF|LEM:yaxodaEu|ROOT:xdE|3MP
(2:9:6:2)	wna	PRON	SUFFIX|PRON:3MP
(2:9:7:1)	<il~aA^	RES	STEM|POS:RES|LEM:<il~aA
(2:9:8:1)	>anfusa	N	STEM|POS:N|LEM:nafos|ROOT:nfs|FP|ACC
(2:9:8:2)	humo	PRON	SUFFIX|PRON:3MP
(2:9:9:1)	wa	CIRC	PREFIX|w:CIRC+
(2:9:9:2)	maA	NEG	STEM|POS:NEG|LEM:maA
(2:9:10:1)	ya$oEuru	V	STEM|POS:V|IMPF|LEM:ya$oEuru|ROOT:$Er|3MP
(2:9:10:2)	wna	PRON	SUFFIX|PRON:3MP
(2:10:1:1)	fiY	P	STEM|POS:P|LEM:fiY
(2:10:2:1)	quluwbi	N	STEM|POS:N|LEM:qalob|ROOT:qlb|FP|GEN
(2:10:2:2)	him	PRON	SUFFIX|PRON:3MP
(2:10:3:1)	m~araDN	N	STEM|POS:N|LEM:m~araD|ROOT:mrD|M|INDEF|NOM
(2:10:4:1)	fa	REM	PREFIX|f:REM+
(2:10:4:2)	zaAda	V	STEM|POS:V|PERF|LEM:zaAda|ROOT:zyd|3MS
(2:10:4:3)	humu	PRON	SUFFIX|PRON:3MP
(2:10:5:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
(2:10:6:1)	maraDFA	N	STEM|POS:N|LEM:m~araD|ROOT:mrD|M|INDEF|ACC
(2:10:7:1)	wa	REM	PREFIX|w:REM+
(2:10:7:2)	la	P	PREFIX|l:P+
(2:10:7:3)	humo	PRON	STEM|POS:PRON|3MP
(2:10:8:1)	Ea*aAbN	N	STEM|POS:N|LEM:Ea*aAb|ROOT:E*b|M|INDEF|NOM
(2:10:9:1)	>aliymN[	ADJ	STEM|POS:ADJ|LEM:>aliym|ROOT:Alm|MS|INDEF|NOM
(2:10:10:1)	bi	P	PREFIX|bi+
(2:10:10:2)	maA	REL	STEM|POS:REL|LEM:maA
(2:10:11:1)	kaAnu	V	STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MP
(2:10:11:2)	wA@	PRON	SUFFIX|PRON:3MP
(2:10:12:1)	yako*ibu	V	STEM|POS:V|IMPF|LEM:ka*aba|ROOT:k*b|3MP
(2:10:12:2)	wna	PRON	SUFFIX|PRON:3MP
(2:11:1:1)	wa	REM	PREFIX|w:REM+
(2:11:1:2)	<i*aA	T	STEM|POS:T|LEM:<i*aA
(2:11:2:1)	qiyla	V	STEM|POS:V|PERF|PASS|LEM:qaAla|ROOT:qwl|3MS
(2:11:3:1)	la	P	PREFIX|l:P+
(2:11:3:2)	humo	PRON	STEM|POS:PRON|3MP
(2:11:4:1)	laA	PRO	STEM|POS:PRO|LEM:laA
(2:11:5:1)	tufosidu	V	STEM|POS:V|IMPF|(IV)|LEM:>afosadu|ROOT:fsd|2MP|MOOD:JUS
(2:11:5:2)	wA@	PRON	SUFFIX|PRON:2MP
(2:11:6:1)	fiY	P	STEM|POS:P|LEM:fiY
(2:11:7:1)	{lo	DET	PREFIX|Al+
(2:11:7:2)	>aroDi	N	STEM|POS:N|LEM:>aroD|ROOT:ArD|F|GEN
(2:11:8:1)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(2:11:8:2)	w^A@	PRON	SUFFIX|PRON:3MP
(2:11:9:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(2:11:9:2)	maA	PREV	STEM|POS:PREV|LEM:maA
(2:11:10:1)	naHonu	PRON	STEM|POS:PRON|1P
(2:11:11:1)	muSoliHuwna	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:muSoliH|ROOT:SlH|MP|NOM
(2:12:1:1)	>alaA^	INC	STEM|POS:INC|LEM:>alaA^
(2:12:2:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(2:12:2:2)	humo	PRON	SUFFIX|PRON:3MP
(2:12:3:1)	humu	PRON	STEM|POS:PRON|3MP
(2:12:4:1)	{lo	DET	PREFIX|Al+
(2:12:4:2)	mufosiduwna	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:mufosid|ROOT:fsd|MP|NOM
(2:12:5:1)	wa	SUP	PREFIX|w:SUP+
(2:12:5:2)	la`kin	AMD	STEM|POS:AMD|LEM:la`kin
(2:12:6:1)	l~aA	NEG	STEM|POS:NEG|LEM:laA
(2:12:7:1)	ya$oEuru	V	STEM|POS:V|IMPF|LEM:ya$oEuru|ROOT:$Er|3MP
(2:12:7:2)	wna	PRON	SUFFIX|PRON:3MP
(2:13:1:1)	wa	CONJ	PREFIX|w:CONJ+
(2:13:1:2)	<i*aA	T	STEM|POS:T|LEM:<i*aA
(2:13:2:1)	qiyla	V	STEM|POS:V|PERF|PASS|LEM:qaAla|ROOT:qwl|3MS
(2:13:3:1)	la	P	PREFIX|l:P+
(2:13:3:2)	humo	PRON	STEM|POS:PRON|3MP
(2:13:4:1)	'aAminu	V	STEM|POS:V|IMPV|(IV)|LEM:'aAmana|ROOT:Amn|2MP
(2:13:4:2)	wA@	PRON	SUFFIX|PRON:2MP
(2:13:5:1)	ka	P	PREFIX|ka+
(2:13:5:2)	maA^	SUB	STEM|POS:SUB|LEM:maA
(2:13:6:1)	'aAmana	V	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MS
(2:13:7:1)	{l	DET	PREFIX|Al+
(2:13:7:2)	n~aAsu	N	STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|NOM
(2:13:8:1)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(2:13:8:2)	w^A@	PRON	SUFFIX|PRON:3MP
(2:13:9:1)	>a	INTG	PREFIX|A:INTG+
(2:13:9:2)	nu&ominu	V	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|1P
(2:13:10:1)	ka	P	PREFIX|ka+
(2:13:10:2)	maA^	SUB	STEM|POS:SUB|LEM:maA
(2:13:11:1)	'aAmana	V	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MS
(2:13:12:1)	{l	DET	PREFIX|Al+
(2:13:12:2)	s~ufahaA^'u	N	STEM|POS:N|LEM:safiyh|ROOT:sfh|MP|NOM
(2:13:13:1)	>alaA^	INC	STEM|POS:INC|LEM:>alaA^
(2:13:14:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(2:13:14:2)	humo	PRON	SUFFIX|PRON:3MP
(2:13:15:1)	humu	PRON	STEM|POS:PRON|3MP
(2:13:16:1)	{l	DET	PREFIX|Al+
(2:13:16:2)	s~ufahaA^'u	N	STEM|POS:N|LEM:safiyh|ROOT:sfh|MP|NOM
(2:13:17:1)	wa	SUP	PREFIX|w:SUP+
(2:13:17:2)	la`kin	AMD	STEM|POS:AMD|LEM:la`kin
(2:13:18:1)	l~aA	NEG	STEM|POS:NEG|LEM:laA
(2:13:19:1)	yaEolamu	V	STEM|POS:V|IMPF|LEM:Ealima|ROOT:Elm|3MP
(2:13:19:2)	wna	PRON	SUFFIX|PRON:3MP
(2:14:1:1)	wa	CONJ	PREFIX|w:CONJ+
(2:14:1:2)	<i*aA	T	STEM|POS:T|LEM:<i*aA
(2:14:2:1)	laqu	V	STEM|POS:V|PERF|LEM:laqu|ROOT:lqy|3MP
(2:14:2:2)	wA@	PRON	SUFFIX|PRON:3MP
(2:14:3:1)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(2:14:4:1)	'aAmanu	V	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:14:4:2)	wA@	PRON	SUFFIX|PRON:3MP
(2:14:5:1)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(2:14:5:2)	w^A@	PRON	SUFFIX|PRON:3MP
(2:14:6:1)	'aAma	V	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|1P
(2:14:6:2)	n~aA	PRON	SUFFIX|PRON:1P
(2:14:7:1)	wa	CONJ	PREFIX|w:CONJ+
(2:14:7:2)	<i*aA	T	STEM|POS:T|LEM:<i*aA
(2:14:8:1)	xala	V	STEM|POS:V|PERF|LEM:xalaA|ROOT:xlw|3MP
(2:14:8:2)	woA@	PRON	SUFFIX|PRON:3MP
(2:14:9:1)	<ilaY`	P	STEM|POS:P|LEM:<ilaY`
(2:14:10:1)	$aya`Tiyni	N	STEM|POS:N|LEM:$ayoTa`n|ROOT:$Tn|MP|GEN
(2:14:10:2)	himo	PRON	SUFFIX|PRON:3MP
(2:14:11:1)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(2:14:11:2)	w^A@	PRON	SUFFIX|PRON:3MP
(2:14:12:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(2:14:12:2)	A	PRON	SUFFIX|PRON:1P
(2:14:13:1)	maEa	LOC	STEM|POS:LOC|LEM:maE|ACC
(2:14:13:2)	kumo	PRON	SUFFIX|PRON:2MP
(2:14:14:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(2:14:14:2)	maA	PREV	STEM|POS:PREV|LEM:maA
(2:14:15:1)	naHonu	PRON	STEM|POS:PRON|1P
(2:14:16:1)	musotahozi'uwna	N	STEM|POS:N|ACT|PCPL|(X)|LEM:musotahozi'uwn|ROOT:hzA|MP|NOM
(2:15:1:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
